data_id,al_text,sell_cnt,unit_price,lanlong,age,total_cnt
50000000058095,黄家路九十九弄,0,,"[121.50374331112,31.222118379302]",1997年 ,1户
5020024300959943,建国中路145号,0,,"[121.474784,31.21509]",1939年 ,2户
5020022563760919,车站支路9弄,0,,"[121.498813,31.214166]",1970-2016年 ,280户
5012970691146532,重庆南路14号,0,,"[121.47782400037,31.226959865994]",暂无信息 ,1户
50000000036497,瑞金新村,1,182263,"[121.47284003184,31.21402302824]",1937年 ,1户
50000000004761,长乐路213号,0,,"[121.46871960224,31.227234187671]",暂无信息 ,1户
5011000009904,进贤路212弄,0,,"[121.4646681,31.2275443]",暂无信息 ,2户
5011000006765,巨鹿路391弄,0,,"[121.4652961,31.22875762]",1930-1992年 ,7户
5020063931564529,渔阳里北区,1,299333,"[121.476512,31.227805]",1930-2001年 ,56户
5011000004911,普育东路112弄,0,,"[121.5029122,31.21525253]",1991年 ,19户
5011000012580,龙悦大厦,0,,"[121.4907482,31.21304997]",暂无信息 ,27户
50000000001469,瑞金二路67号,0,,"[121.47096546002,31.223285811944]",暂无信息 ,2户
5011000009137,文元坊(黄浦),0,,"[121.4876595,31.22880556]",暂无信息 ,5户
5011000017020,六合路158号,0,,"[121.4812589,31.24294439]",1998年 ,380户
50000000059955,淮海中路,0,,"[121.47585912692,31.227190951701]",暂无信息 ,3户
5020075517498223,黄浦新苑东区,4,125426,"[121.492453,31.216148]",2007-2008年 ,272户
5012334367519460,牌楼路33号,0,,"[121.493083,31.21958]",1990年 ,14户
50000000001080,牯岭路143号,0,,"[121.47729726547,31.241853964559]",暂无信息 ,2户
509821540057479,巨鹿路312号,0,,"[121.46621609746,31.22909682001]",暂无信息 ,3户
50000000000771,日月光伯爵天地,0,,"[121.48469185829,31.224685537721]",2000-2014年 ,1824户
50000000001032,贵州路125号,0,,"[121.48264675193,31.242168304425]",暂无信息 ,1户
50000000001804,方浜西路63弄,0,,"[121.48904704491,31.226510950322]",暂无信息 ,1户
5011000008897,南昌路103号,0,,"[121.471044,31.22366725]",1936年 ,3户
5011000006986,中山南一路270-290号,1,112158,"[121.4929679,31.20586699]",1975-1979年 ,59户
5020037552876579,复兴中路488号,0,,"[121.478723,31.22165]",暂无信息 ,1户
50000000005495,大吉路314号,0,,"[121.48855321144,31.218836141831]",暂无信息 ,1户
5011000003054,宁安路107弄,0,,"[121.4930108,31.22124803]",暂无信息 ,4户
5011000011319,重庆南路298弄,1,138746,"[121.4771084,31.22126795]",1949-1990年 ,221户
50000000005705,江阴路157号,0,,"[121.47422417789,31.235303451401]",暂无信息 ,1户
5020027042137762,中山东一路32号,0,,"[121.495745,31.24662]",暂无信息 ,40户
50000000002889,复兴中路494号,0,,"[121.47875598843,31.221494144132]",暂无信息 ,1户
50000000005452,瑞金二路143号后门,0,,"[121.47289799029,31.219496443254]",暂无信息 ,1户
5012970675942043,南塘浜路125弄1号,0,,"[121.47887636617,31.20971675456]",暂无信息 ,12户
50000000014497,福州路614弄,0,,"[121.48563300148,31.238698267305]",1980年 ,47户
5011000005471,永嘉路1弄,0,,"[121.471851,31.216972]",1936-1987年 ,6户
50000000001195,宁海东路255号,0,,"[121.48733432721,31.233904240792]",暂无信息 ,1户
50000000001199,九江路202号,0,,"[121.49303914958,31.242817124746]",暂无信息 ,2户
5020025746336364,重庆北路346-360号,0,,"[121.475077,31.235169]",1936年 ,4户
50000000001005,福州路384弄,0,,"[121.4898426831,31.240016251555]",暂无信息 ,1户
5020044590394216,明日星城(二期、三期),10,125124,"[121.500733,31.220268]",2005-2011年 ,690户
50000000001249,瑞金二路33号,0,,"[121.47078410167,31.224090243596]",暂无信息 ,2户
5011000009531,巨鹿路310弄,0,,"[121.4664234,31.22900013]",暂无信息 ,1户
5011000008068,白尔登公寓,0,,"[121.467621,31.218774]",1935年 ,109户
5011000005199,皋兰路27号,0,,"[121.4716442,31.2226901]",1936年 ,1户
5011102207829,香山路10号,0,,"[121.4725963,31.22202539]",暂无信息 ,2户
5020040455960692,五坊园,8,165708,"[121.498852,31.219096]",2019-2021年 ,330户
50000000023376,新昌路356号,0,,"[121.47423309193,31.242651972013]",暂无信息 ,1户
5011102207941,南昌路89号,0,,"[121.4713314,31.22375603]",暂无信息 ,2户
5011000007536,长乐路61号,0,,"[121.4753017,31.22812143]",暂无信息 ,2户
