title,house_type,district,bizcircle_name,avg_price,area_range,sale_status,open_date,longitude,latitude,tags,index
山水阳珀别院,住宅,富阳,银湖科技城,17000,135㎡,在售,2023-09-26,119.93890300974,30.092221975695,"['低单价', '车位充足', '低密居所', '置换改善']",4
山水钰和院,住宅,富阳,富春,22950,94-122㎡,在售,2024-04-02,119.92553760316,30.056930061598,"['低密居所', '人车分流', '置换改善', '养老舒适']",4
中国铁建富臻春和府,住宅,富阳,江南新城,18800,89-139㎡,在售,2023-12-99,120.00917333015,30.008724855394,"['低单价', '低总价', '绿化率高', '人车分流']",4
璟畔和院,别墅,富阳,鹿山新城,15800,175-430㎡,在售,2024-05-99,119.89189090432,29.923621559716,"['低单价', '车位充足', '封闭管理', '置换改善']",4
缤曜金汇府,住宅,富阳,银湖科技城,22950,131-160㎡,在售,2024-04-99,119.94748278982,30.076351991706,"['车位充足', '绿化率高', '置换改善', '高品质小区']",4
山水雍翠别院,住宅,富阳,银湖科技城,15423,119-138㎡,在售,2024-04-02,119.97594098653,30.153528886666,"['低单价', '低总价', '车位充足', '低密居所']",5
山水雍翠别院,别墅,富阳,银湖科技城,24160,201-259㎡,在售,2024-05-99,119.97594098653,30.153528886666,"['低单价', '车位充足', '人车分流', '置换改善']",5
虹缤之都,住宅,富阳,银湖科技城,21300,96-130㎡,在售,2024-06-25,119.99158640257,30.146236523118,"['绿化率高', '人车分流', '品牌房企', '近地铁']",5
翠璟和庄,别墅,富阳,银湖科技城,28000,207-299㎡,在售,2024-05-25,119.94201447077,30.093179547974,"['车位充足', '人车分流', '置换改善', '近地铁']",5
绿城春桂璟庐,住宅,富阳,富春,32000,140-245㎡,在售,2024-06-07,119.94301840454,30.040052254966,"['车位充足', '人车分流', '置换改善', '地铁沿线']",5
绿城春桂璟庐,别墅,富阳,富春,32000,195-245㎡,在售,2024-05-17,119.94301840454,30.040052254966,"['车位充足', '人车分流', '置换改善', '地铁沿线']",5
山水燕庐,别墅,富阳,富春,29300,214-297㎡,在售,2024-06-99,119.94517586368,30.050273691952,"['人车分流', '小型社区', '置换改善', '品牌房企']",5
天目观山月,住宅,临安,临安,12800,44-76㎡,在售,2020-06-01,119.460458,30.305035,"['低单价', '低总价', '低密居所', '小型社区']",1
大华春山明月,别墅,临安,临安,37500,155-218㎡,在售,2024-06-01,119.81407855248,30.270096675923,"['车位充足', '绿化率高', '置换改善', '品牌房企']",1
青山湖玫瑰园,别墅,临安,临安,34800,200-229㎡,在售,2023-02-23,119.8003487122,30.263953654553,"['车位充足', '绿化率高', '置换改善', '养老舒适']",1
易辰江南大院,别墅,临安,临安,32000,130-200㎡,在售,2023-11-09,119.776769,30.27512,"['低密居所', '小型社区', '置换改善', '品牌房企']",1
柳溪湾,住宅,临安,临安,10700,38-120㎡,在售,2020-04-99,119.255186,30.123274,"['低单价', '低总价', '低密居所', '小型社区']",1
朗诗溪涧雅庐,住宅,临安,临安,16000,88-105㎡,在售,2023-06-10,119.659354,30.255863,"['低单价', '低总价', '车位充足', '绿化率高']",1
竹悦山水轩,住宅,临安,临安,12000,59-89㎡,在售,2020-11-99,119.363667,30.050266,"['低单价', '低总价', '低密居所', '人车分流']",1
国开东方锦城学府,住宅,临安,临安,20000,89㎡,在售,2021-03-99,119.705991,30.247343,"['人车分流', '封闭管理', '品牌房企', '入户花园']",1
水岸华府,住宅,临安,临安,11000,89-140㎡,在售,2021-10-30,119.400528,30.187073,"['低单价', '低总价', '车位充足', '人车分流']",1
东亚溪雅香舍,住宅,临安,临安,10500,75-139㎡,在售,2021-12-31,119.214525,30.170089,"['低单价', '低总价', '车位充足', '人车分流']",1
融信美好宝龙锦云澜天里,住宅,临安,临安,19099,80-115㎡,在售,2021-08-27,119.70680457296,30.208430376841,"['绿化率高', '人车分流', '品牌房企', '贴心物业']",2
凤凰府邸,别墅,临安,临安,21800,152-222㎡,在售,2020-06-03,119.316344,30.188636,"['低单价', '低总价', '车位充足', '绿化率高']",2
凤凰府邸,住宅,临安,临安,9800,75-104㎡,在售,2020-06-03,119.316344,30.188636,"['低单价', '低总价', '车位充足', '绿化率高']",2
浅隐云庐,别墅,临安,临安,16000,134-208㎡,在售,2020-09-22,119.401651,30.224208,"['低单价', '低总价', '车位充足', '人车分流']",2
大华春山明月,住宅,临安,临安,20000,101-183㎡,在售,2021-03-99,119.81407855248,30.270096675923,"['车位充足', '绿化率高', '置换改善', '高品质小区']",2
