,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
25,SZ000534,生物制品<span style='color:#00a859;'><b>↓7</b></span>/10,万泽股份,210.1,-0.7,3.853796290699314,9.498042912767401,-0.15101552987468658,2026-01-12,23.209999084472656,41.2400016784668,7212.001037597656,0.7768204784659427,2,71.0,1.0,0.5419807417915983,多头排列,663.9999389648438
26,SZ300816,汽车零部件<span style='color:#ff4444;'><b>↑10</b></span>/11,艾可蓝,55.3,0.0,0.5758704743435058,2.0384844581541453,-0.10706225015773463,2026-02-27,64.9800033569336,69.12000274658203,413.99993896484375,0.06371189867300438,3,33.0,1.0,0.22017947331809198,连续上涨,646.0002899169922
27,SH600015,银行<span style='color:#ff4444;'><b>↑12</b></span>/12,华夏银行,1091.8,23.2,4.876216617526028,7.030084596452606,-0.013353068072256336,2026-02-04,6.480000019073486,6.860000133514404,570.000171661377,0.05864199279666832,4,23.5,0.5,0.009285531026084898,连续上涨,459.00020599365234
28,SH600919,银行<span style='color:#ff4444;'><b>↑12</b></span>/12,江苏银行,1936.1,19.3,3.2685862021334384,11.355627952364896,-0.021925600310267024,2026-01-29,10.130000114440918,10.550000190734863,378.0000686645508,0.04146101397325852,4,20.25,0.5,0.0040485620310850585,连续上涨,459.00020599365234
29,SH601077,银行<span style='color:#ff4444;'><b>↑12</b></span>/12,渝农商行,756.4,17.1,1.528353272054711,3.17591674306341,-0.03994089476655738,2026-01-29,6.46999979019165,6.659999847412109,285.0000858306885,0.02936631582407376,4,31.5,0.5,-0.0008818834540879061,连续上涨,459.00020599365234
30,SZ000035,环保工程<span style='color:#00a859;'><b>↓11</b></span>/13,中国天楹,186.7,0.5,4.844962245739132,18.289191024127785,-0.05228753281177323,2026-02-24,6.190000057220459,7.820000171661377,2608.0001831054688,0.26332796435753975,3,21.333333333333332,0.6666666666666666,0.06060609531143805,连续上涨,449.0002632141113
31,SH603588,环保工程<span style='color:#00a859;'><b>↓11</b></span>/13,高能环境,204.1,2.4,6.015403835407172,6.015403835407172,-0.05686126033812999,2025-12-19,7.210000038146973,13.399999618530273,8046.999454498291,0.858529756953258,2,61.0,1.0,0.465645616486483,连续上涨,449.0002632141113
32,SZ001216,装修建材<span style='color:#00a859;'><b>↓3</b></span>/14,华瓷股份,52.9,3.0,2.8544107696102197,5.947907580429296,-0.08712484270836118,2026-02-26,18.780000686645508,20.989999771118164,1104.9995422363281,0.11767832820390632,2,53.5,1.0,0.13400464320680747,多头排列,425.0001907348633
33,SH600039,工程建设<span style='color:#ff4444;'><b>↑7</b></span>/15,四川路桥,920.0,5.9,5.643834054056663,26.589118517263685,-0.03632690839760777,2026-03-02,10.149999618530273,10.579999923706055,387.0002746582031,0.042364563678480766,2,52.5,1.0,0.09217234365874707,连续上涨,387.0002746582031
34,SZ002383,计算机设备<span style='color:#ff4444;'><b>↑4</b></span>/16,合众思壮,92.7,-1.7,3.6573365299507588,14.92821349853448,-0.038360987254937085,2026-03-02,12.130000114440918,12.520000457763672,312.0002746582031,0.03215171802500262,3,35.333333333333336,1.0,0.08794058736762649,连续上涨,312.0002746582031
35,SZ000895,食品饮料<span style='color:#ff4444;'><b>↑6</b></span>/17,双汇发展,943.4,3.8,3.832722656372066,12.410965462103736,-0.0194683103047103,2026-01-29,25.950000762939453,27.229999542236328,383.9996337890625,0.049325577713466115,2,45.5,1.0,0.05826444255293587,连续上涨,248.9999771118164
36,SH603268,船舶制造<span style='color:#00a859;'><b>↓10</b></span>/18,*ST松发,1220.3,-0.4,11.50239965699779,11.50239965699779,-0.049950050711465854,2026-02-06,85.58999633789062,125.69999694824219,4011.0000610351562,0.4686295399757471,2,66.0,1.0,0.5272660709280611,连续上涨,163.9995574951172
37,SZ300008,船舶制造<span style='color:#00a859;'><b>↓10</b></span>/18,天海防务,158.8,0.2,2.128734635028031,3.9269197619972926,-0.07730928261190328,2026-02-03,8.829999923706055,9.1899995803833,395.9996223449707,0.040770063396121756,3,48.666666666666664,1.0,0.09297584864807742,多头排列,163.9995574951172
38,SZ300763,光伏设备<span style='color:#00a859;'><b>↓4</b></span>/19,锦浪科技,353.9,1.5,1.4265627829090637,2.7322032690382043,-0.10536818842606577,2026-02-27,84.19000244140625,88.91000366210938,472.0001220703125,0.05606367839207638,3,32.0,0.6666666666666666,0.011843793961742736,连续上涨,159.00115966796875
39,SH605117,光伏设备<span style='color:#00a859;'><b>↓4</b></span>/19,德业股份,1053.8,1.2,5.7899885764919174,18.010296365855684,-0.05900492408966029,2026-02-03,88.4000015258789,115.94000244140625,2754.0000915527344,0.3115384665176173,4,29.5,0.75,0.08614099271686776,多头排列,159.00115966796875
40,SZ002202,风电设备<span style='color:#00a859;'><b>↓3</b></span>/20,金风科技,1202.5,1.1,1.4138978914012692,1.8812156201064776,-0.09017598716650854,2026-02-25,27.260000228881836,28.469999313354492,362.9997253417969,0.04438734681999996,2,40.0,1.0,0.34533240477933086,连续上涨,107.9996109008789
41,SZ000425,工程机械<span style='color:#00a859;'><b>↓9</b></span>/21,徐工机械,1443.9,3.7,3.8538779614131213,11.510122974553122,-0.05371250500566038,2026-02-04,11.65999984741211,12.289999961853027,504.0000915527344,0.05403088530749372,2,39.5,1.0,0.05216701560429789,连续上涨,30.00049591064453
42,SZ000157,工程机械<span style='color:#00a859;'><b>↓9</b></span>/21,中联重科,851.9,4.3,3.7239494289185946,7.250767252126044,-0.04399995803833001,2026-02-03,9.350000381469727,9.850000381469727,500.0,0.05347593364711767,3,51.666666666666664,1.0,0.04926454926140816,多头排列,30.00049591064453
43,SH601857,石油行业<span style='color:#00a859;'><b>↓6</b></span>/22,中国石油,22511.6,5.7,2.6565822636843848,6.273941851279879,-0.07099694838619441,2025-12-23,9.890000343322754,12.300000190734863,2409.9998474121094,0.24368046145106798,2,65.0,1.0,0.1978276348648018,多头排列,-63.99965286254883
44,SH600028,石油行业<span style='color:#00a859;'><b>↓6</b></span>/22,中国石化,8319.7,3.0,1.5371148836700095,3.4440567180279835,-0.12020460825907542,2025-10-14,5.420000076293945,6.880000114440918,2628.000068664551,0.2693726969733334,1,143.0,1.0,0.2693726969733334,连续上涨,-63.99965286254883
45,SH603257,工程咨询服务<span style='color:#00a859;'><b>↓9</b></span>/23,中国瑞林,83.8,-0.4,1.5465897874421168,2.1199479216892443,-0.05788974099630706,2026-02-24,59.95000076293945,69.86000061035156,990.9999847412109,0.16530441570133192,2,23.0,1.0,0.09947956606508294,均线收敛,-320.9999084472656
46,SH600522,通信设备<span style='color:#00a859;'><b>↓18</b></span>/24,中天科技,934.5,1.5,4.703130223802803,9.516210016198121,-0.09337753413680294,2025-12-01,16.81999969482422,27.3799991607666,5279.999732971191,0.6278239986646291,1,95.0,1.0,0.6278239986646291,均线收敛,-1410.0008010864258
