idx,symbol,industry,sector
599,SNTI,生物技术,医疗保健
600,SNTG,信贷服务,金融服务
601,SNT,安保服务,工业
602,SNPS,软件,科技
603,SNOA,药品制造商,医疗保健
604,SNGX,生物技术,医疗保健
605,SNFCA,人寿保险,金融服务
606,SNEX,资本市场,金融服务
607,SNES,专业化学品,基础材料
608,SNDX,生物技术,医疗保健
609,SNDL,酒庄与酿酒厂,必需消费
610,SNDK,计算机硬件,科技
611,SND,石油天然气设备服务,能源
612,SNAL,电子游戏多媒体,通讯服务
613,SMXT,太阳能,科技
614,SMX,专业商业服务,工业
615,SMTK,半导体设备材料,科技
616,SMTI,医疗仪器用品,医疗保健
617,SMTC,半导体,科技
618,SMSI,软件,科技
619,SMPL,包装食品,必需消费
620,SMMT,生物技术,医疗保健
621,SMID,建筑材料,基础材料
622,SMCIP,计算机硬件,科技
623,SMCI,计算机硬件,科技
624,SMBC,区域性银行,金融服务
625,SLXN,生物技术,医疗保健
626,SLSN,家庭个人用品,必需消费
627,SLS,生物技术,医疗保健
628,SLRC,资产管理,金融服务
629,SLP,健康信息服务,医疗保健
630,SLNHP,资本市场,金融服务
631,SLNH,资本市场,金融服务
632,SLNG,石油天然气,能源
633,SLN,生物技术,医疗保健
634,SLMT,软件,科技
635,SLMBP,信贷服务,金融服务
636,SLM,信贷服务,金融服务
637,SLGL,生物技术,医疗保健
638,SLGB,综合货运物流,工业
639,SLE,互联网内容信息,通讯服务
640,SLDP,汽车零部件,可选消费
641,SLDE,财产意外保险,金融服务
642,SLDB,生物技术,医疗保健
643,SLBT,生物技术,医疗保健
644,SLAB,半导体,科技
645,SKYX,电气设备零件,工业
646,SKYW,航空公司,工业
647,SKYQ,石油天然气,能源
648,SKYE,生物技术,医疗保健
649,SKYA,软件,科技
650,SKWD,财产意外保险,金融服务
651,SKK,工程与建筑,工业
652,SKIN,家庭个人用品,必需消费
653,SKHY,半导体,科技
654,SJ,互联网内容信息,通讯服务
655,SITM,半导体,科技
656,SIRI,娱乐,通讯服务
657,SION,生物技术,医疗保健
658,SINT,医疗设备,医疗保健
659,SIMO,半导体,科技
660,SIMA,空壳公司,金融服务
661,SILO,生物技术,医疗保健
662,SILC,通信设备,科技
663,SIGIP,财产意外保险,金融服务
664,SIGI,财产意外保险,金融服务
665,SIGA,药品制造商,医疗保健
666,SIFY,电信服务,通讯服务
667,SIEB,资本市场,金融服务
668,SIDU,航空航天国防,工业
669,SIBN,医疗设备,医疗保健
670,SHPH,药品制造商,医疗保健
671,SHOTU,空壳公司,金融服务
