idx,symbol,industry,sector
305,UFPT,Medical Devices,Healthcare
306,UFPI,Lumber & Wood Production,Basic Materials
307,UFG,Marine Shipping,Industrials
308,UFCS,Insurance - Property & Casualty,Financial Services
309,UEIC,Consumer Electronics,Technology
310,UCTT,Semiconductor Equipment & Materials,Technology
311,UCL,Telecom Services,Communication Services
312,UCAR,Auto & Truck Dealerships,Consumer Cyclical
313,UBSI,Banks - Regional,Financial Services
314,UBCP,Banks - Regional,Financial Services
315,UAL,Airlines,Industrials
316,TZOO,Internet Content & Information,Communication Services
317,TYRA,Biotechnology,Healthcare
318,TYGO,Solar,Technology
319,TXRH,Restaurants,Consumer Cyclical
320,TXN,Semiconductors,Technology
321,TXMD,Drug Manufacturers - Specialty & Generic,Healthcare
322,TXG,Health Information Services,Healthcare
323,TWST,Diagnostics & Research,Healthcare
324,TWLV,Shell Companies,Financial Services
325,TWIN,Specialty Industrial Machinery,Industrials
326,TWG,Food Distribution,Consumer Defensive
327,TWFG,Insurance Brokers,Financial Services
328,TWAV,Asset Management,Financial Services
329,TW,Capital Markets,Financial Services
330,TVTX,Biotechnology,Healthcare
331,TVRD,Biotechnology,Healthcare
332,TVIVU,Shell Companies,Financial Services
333,TVIV,Shell Companies,Financial Services
334,TVGN,Biotechnology,Healthcare
335,TVAI,Shell Companies,Financial Services
336,TVA,Shell Companies,Financial Services
337,TUSK,Conglomerates,Industrials
338,TURB,Solar,Technology
339,TULP,Farm Products,Consumer Defensive
340,TTWO,Electronic Gaming & Multimedia,Communication Services
341,TTRX,Biotechnology,Healthcare
342,TTMI,Electronic Components,Technology
343,TTGT,Information Technology Services,Technology
344,TTEK,Engineering & Construction,Industrials
345,TTEC,Information Technology Services,Technology
346,TTD,Advertising Agencies,Communication Services
347,TTAN,Software - Application,Technology
348,TSSI,Information Technology Services,Technology
349,TSLA,Auto Manufacturers,Consumer Cyclical
350,TSHA,Biotechnology,Healthcare
351,TSEM,Semiconductors,Technology
352,TSCO,Specialty Retail,Consumer Cyclical
353,TSBK,Banks - Regional,Financial Services
354,TSAT,Communication Equipment,Technology
355,TRVI,Biotechnology,Healthcare
356,TRVG,Internet Content & Information,Communication Services
357,TRUP,Insurance - Property & Casualty,Financial Services
358,TRUG,Leisure,Consumer Cyclical
359,TRST,Banks - Regional,Financial Services
360,TRSG,Metal Fabrication,Industrials
361,TRS,Packaging & Containers,Consumer Cyclical
362,TROW,Asset Management,Financial Services
363,TROO,Credit Services,Financial Services
364,TRON,Leisure,Consumer Cyclical
365,TRNS,Specialty Business Services,Industrials
366,TRNR,Personal Services,Consumer Cyclical
367,TRMK,Banks - Regional,Financial Services
368,TRMD,Oil & Gas Midstream,Energy
369,TRMB,Scientific & Technical Instruments,Technology
370,TRIP,Travel Services,Consumer Cyclical
371,TRIB,Medical Devices,Healthcare
372,TRI,Specialty Business Services,Industrials
373,TRGS,Shell Companies,Financial Services
374,TREO,Other Industrial Metals & Mining,Basic Materials
375,TREE,Financial Conglomerates,Financial Services
376,TRDA,Biotechnology,Healthcare
377,TRAX,Biotechnology,Healthcare
378,TRAW,Biotechnology,Healthcare
379,TPST,Biotechnology,Healthcare
380,TPG,Asset Management,Financial Services
381,TPCS,Metal Fabrication,Industrials
382,TOYO,Solar,Technology
383,TOWN,Banks - Regional,Financial Services
384,TOUR,Travel Services,Consumer Cyclical
385,TORO,Oil & Gas Midstream,Energy
386,TOP,Capital Markets,Financial Services
387,TONX,Software - Application,Technology
388,TOMZ,Pollution & Treatment Controls,Industrials
389,TNYA,Biotechnology,Healthcare
390,TNXP,Biotechnology,Healthcare
391,TNON,Medical Devices,Healthcare
392,TNMG,Publishing,Communication Services
393,TNGX,Biotechnology,Healthcare
394,TNDM,Medical Devices,Healthcare
395,TMUS,Telecom Services,Communication Services
396,TMTS,Shell Companies,Financial Services
397,TMS,Financial Conglomerates,Financial Services
398,TMDX,Medical Devices,Healthcare
399,TMCR,Other Industrial Metals & Mining,Basic Materials
400,TMCI,Medical Devices,Healthcare
401,TMC,Other Industrial Metals & Mining,Basic Materials
402,TLX,Biotechnology,Healthcare
403,TLSI,Medical Devices,Healthcare
404,TLSA,Biotechnology,Healthcare
405,TLS,Software - Infrastructure,Technology
406,TLRY,Drug Manufacturers - Specialty & Generic,Healthcare
407,TLPH,Drug Manufacturers - Specialty & Generic,Healthcare
408,TLNCU,Shell Companies,Financial Services
409,TLNC,Shell Companies,Financial Services
410,TLN,Utilities - Independent Power Producers,Utilities
411,TLIH,Industrial Distribution,Industrials
412,TLF,Specialty Retail,Consumer Cyclical
413,TKNO,Drug Manufacturers - Specialty & Generic,Healthcare
414,TKLF,Specialty Retail,Consumer Cyclical
415,TJGC,Advertising Agencies,Communication Services
416,TITN,Industrial Distribution,Industrials
417,TIPT,Asset Management,Financial Services
418,TILE,"Furnishings, Fixtures & Appliances",Consumer Cyclical
419,TIL,Biotechnology,Healthcare
420,TIGR,Capital Markets,Financial Services
421,TIGO,Telecom Services,Communication Services
422,THRY,Software - Application,Technology
423,THRM,Auto Parts,Consumer Cyclical
424,THH,Specialty Business Services,Industrials
425,THFF,Banks - Regional,Financial Services
426,THEOU,Shell Companies,Financial Services
427,THEO,Shell Companies,Financial Services
428,THCH,Restaurants,Consumer Cyclical
429,TH,Specialty Business Services,Industrials
430,TGTX,Biotechnology,Healthcare
431,TGL,Software - Application,Technology
432,TGHL,Software - Infrastructure,Technology
433,TFSL,Banks - Regional,Financial Services
434,TER,Semiconductor Equipment & Materials,Technology
435,TENX,Biotechnology,Healthcare
436,TENB,Software - Infrastructure,Technology
437,TEM,Health Information Services,Healthcare
438,TELO,Biotechnology,Healthcare
439,TELA,Medical Devices,Healthcare
440,TECX,Biotechnology,Healthcare
441,TECH,Biotechnology,Healthcare
442,TEAM,Software - Application,Technology
443,TEAD,Internet Content & Information,Communication Services
444,TDWD,Shell Companies,Financial Services
445,TDUP,Internet Retail,Consumer Cyclical
446,TDTH,Information Technology Services,Technology
447,TDIC,Advertising Agencies,Communication Services
448,TDACU,Shell Companies,Financial Services
449,TDAC,Shell Companies,Financial Services
450,TCX,Software - Infrastructure,Technology
451,TCRX,Biotechnology,Healthcare
452,TCRT,Biotechnology,Healthcare
453,TCPC,Asset Management,Financial Services
454,TCOM,Travel Services,Consumer Cyclical
455,TCMD,Medical Devices,Healthcare
456,TCGX,Shell Companies,Financial Services
457,TCBS,Banks - Regional,Financial Services
458,TCBK,Banks - Regional,Financial Services
459,TCBIO,Banks - Regional,Financial Services
460,TCBI,Banks - Regional,Financial Services
461,TC,Advertising Agencies,Communication Services
462,TBPH,Biotechnology,Healthcare
463,TBLA,Internet Content & Information,Communication Services
464,TBCVU,Shell Companies,Financial Services
465,TBCH,Consumer Electronics,Technology
466,TBBK,Banks - Regional,Financial Services
467,TAYD,Specialty Industrial Machinery,Industrials
468,TAVI,Shell Companies,Financial Services
469,TATT,Aerospace & Defense,Industrials
470,TASK,Information Technology Services,Technology
471,TARS,Biotechnology,Healthcare
472,TARA,Biotechnology,Healthcare
473,TAOX,Capital Markets,Financial Services
474,TAOP,Software - Infrastructure,Technology
