,SYMBOL,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,IND,NAME,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
22,CLSK,2024-08-23,2024-08-26,12.609999656677246,12.15999984741211,-356.8498487472534,-0.035685949366925866,应用软件 <span style='color:red;'>↑80</span>(38),CleanSpark Inc,1,3.0,0.0,-0.035685949366925866,均线空头,394.0312657356262
23,SNPS,2024-08-15,2024-08-23,548.280029296875,539.3900146484375,-160.020263671875,-0.016214368887078064,应用软件 <span style='color:red;'>↑80</span>(38),新思科技,1,8.0,0.0,-0.016214368887078064,均线空头,394.0312657356262
24,CVX,2024-08-26,2024-08-27,148.5,146.9499969482422,-103.85020446777344,-0.010437730988268097,综合性石油与天然气企业 <span style='color:red;'>↑4</span>(40),雪佛龙,1,1.0,0.0,-0.010437730988268097,均线空头,357.24930572509766
25,CVE,2024-08-23,2024-08-27,19.049999237060547,18.770000457763672,-146.7193603515625,-0.0146980992394034,综合性石油与天然气企业 <span style='color:red;'>↑4</span>(40),Cenovus能源,1,4.0,0.0,-0.0146980992394034,收盘价走低,357.24930572509766
26,TROW,2024-08-21,2024-08-27,109.55000305175781,107.9000015258789,-150.15013885498047,-0.015061629209625392,资产管理与托管银行 <span style='color:green;'>↓33</span>(41),普信集团,1,6.0,0.0,-0.015061629209625392,均线空头,356.27921295166016
27,CG,2024-08-08,2024-08-23,39.22999954223633,40.25,259.08011627197266,0.02600052178602514,资产管理与托管银行 <span style='color:green;'>↓33</span>(41),凯雷集团,1,15.0,1.0,0.02600052178602514,均线空头,356.27921295166016
28,NBIX,2024-06-28,2024-08-28,137.6699981689453,123.76000213623047,-1001.5197143554688,-0.10103868829608635,生物科技 <span style='color:green;'>↓13</span>(48),神经分泌生物科学,1,61.0,0.0,-0.10103868829608635,下穿年线,261.8847351074219
29,OTIS,2024-08-21,2024-08-26,93.95999908447266,93.6500015258789,-32.8597412109375,-0.0032992503364655586,工业机械、物料与部件 <span style='color:green;'>↓25</span>(59),Otis Worldwide Corp,1,5.0,0.0,-0.0032992503364655586,均线空头,106.22023010253906
30,SLB,2024-08-23,2024-08-27,45.119998931884766,45.040000915527344,-17.679561614990234,-0.0017730057236524002,石油天然气设备与服务 <span style='color:red;'>↑4</span>(61),斯伦贝谢,1,4.0,0.0,-0.0017730057236524002,均线空头,99.35890197753906
31,CHX,2024-08-23,2024-08-27,31.940000534057617,31.8700008392334,-21.90990447998047,-0.0021915996760732076,石油天然气设备与服务 <span style='color:red;'>↑4</span>(61),ChampionX Corp,1,4.0,0.0,-0.0021915996760732076,下穿年线,99.35890197753906
32,WFRD,2024-08-23,2024-08-26,108.01000213623047,108.62999725341797,57.03955078125,0.0057401639193147575,石油天然气设备与服务 <span style='color:red;'>↑4</span>(61),威德福国际,1,3.0,1.0,0.0057401639193147575,均线空头,99.35890197753906
33,DKNG,2024-08-23,2024-08-28,36.369998931884766,34.349998474121094,-553.4801254272461,-0.05554029466832848,赌场与赌博 <span style='color:red;'>↑55</span>(67),DraftKings Inc-A,1,5.0,0.0,-0.05554029466832848,均线空头,38.379722595214844
