,symbol,open_alias,close,high,low,change,chg,volume,mktcap
1612,caty,42.5900,41.5800,42.6700,41.5000,-1.73,-0.7300,153529,3237441211
1613,ens,75.5600,76.0600,77.4750,75.5600,0.38,0.2900,237461,3234319231
1614,pci,21.3100,21.2200,21.3700,21.1500,-0.42,-0.0900,436275,3228304636
1615,atrc,70.8100,70.3200,71.7300,70.1300,-0.79,-0.5600,143723,3226453813
1616,avir,40.2000,38.8400,40.7100,37.4000,-3.05,-1.2200,2396330,3215056233
1617,vtex,18.4200,16.9000,18.8600,16.8200,-8.50,-1.5700,426054,3213652995
1618,mpln,5.0400,4.8100,5.1000,4.8000,-4.75,-0.2400,3774984,3213644564
1619,ssrm,15.2300,14.9900,15.3700,14.9850,-1.06,-0.1600,564015,3212385211
1620,fa,21.0100,21.0000,21.7000,20.5800,-0.19,-0.0400,206657,3209981250
1621,mant,79.3000,78.8000,80.2800,78.8000,-0.38,-0.3000,66133,3206107468
1622,nsit,92.0100,91.9200,92.8000,90.4700,0.17,0.1600,155580,3203948077
1623,ibp,106.0500,107.8600,109.2200,105.5900,1.76,1.8700,229756,3203591062
1624,fnde,32.9600,32.8200,33.0800,32.7950,0.00,0.0000,475384,3200027192
1625,dgrw,60.0814,59.7700,60.4200,59.7700,-0.57,-0.3400,168516,3194706500
1626,ddt,27.4000,27.4800,27.5950,27.4000,-0.61,-0.1700,2359,3191263007
1627,fhi,33.3800,32.7000,34.1500,32.4800,-2.48,-0.8300,674677,3190378998
1628,shak,77.2600,75.7700,78.9000,75.7500,-3.05,-2.3800,561322,3186693971
1629,ax,54.0000,53.5800,54.2400,53.4300,-0.50,-0.2700,80442,3180258688
1630,mgv,100.6300,99.6300,101.0300,99.6300,-0.89,-0.8900,121427,3179174071
1631,pdco,32.9000,32.6400,33.4500,32.5800,-0.24,-0.0800,585495,3176590080
1632,klic,52.5000,51.2500,53.2000,51.2227,-2.79,-1.4700,1060704,3175886086
1633,ameh,74.1300,71.4200,75.0200,68.1200,-3.66,-2.7100,1030382,3174933248
1634,nni,83.0700,82.8400,83.4850,82.8100,-0.20,-0.1700,35541,3165887996
1635,nktr,17.0700,17.2200,17.4400,16.9700,1.18,0.2000,579920,3165060814
1636,cpe,59.7800,57.4000,61.4900,57.3200,-0.97,-0.5600,2252433,3164585410
1637,whd,42.5700,41.8000,43.1400,41.8000,-0.55,-0.2300,335190,3164400866
1638,tsem,29.0950,29.1600,29.6700,29.0300,-0.17,-0.0500,142125,3163539210
1639,kex,52.3500,52.6300,53.6600,52.1100,1.21,0.6300,641593,3163536670
1640,ihrt,23.9900,22.3000,23.9900,22.2200,-6.77,-1.6200,1666461,3157123325
1641,psec,8.0600,8.1100,8.1800,8.0550,0.62,0.0500,1763096,3155808056
1642,rxt,15.0000,15.0400,15.3400,14.8950,0.27,0.0400,812502,3145387000
1643,ofc,27.9100,27.9600,28.0900,27.8450,0.04,0.0100,222779,3140886516
1644,tal,4.8300,4.8700,5.1600,4.7800,2.31,0.1100,17602653,3140570304
1645,blnd,13.0600,13.8300,14.2100,13.0600,4.38,0.5800,450723,3140502777
1646,frog,33.1600,32.7500,33.5600,32.5900,-2.09,-0.7000,928569,3140315395
1647,semr,25.5200,23.1600,25.5200,23.0300,-6.12,-1.5100,696118,3138110218
1648,wdfc,232.2700,228.5200,232.8350,228.5200,-1.59,-3.6900,28522,3132498914
1649,ibtx,74.1400,72.5500,74.1400,72.4700,-1.61,-1.1900,50610,3131869088
1650,slyv,84.5600,83.8000,85.0720,83.7500,-0.68,-0.5700,76533,3129257924
1651,prta,71.0400,69.4100,72.0000,69.2000,-2.45,-1.7400,173478,3126743435
1652,mcy,56.3800,56.4300,56.8200,56.2700,0.25,0.1400,109498,3124574018
1653,me,7.5800,7.6800,7.8300,7.5000,1.99,0.1500,1112384,3124116003
1654,fold,11.4200,11.6700,11.7900,11.3300,1.39,0.1600,2323792,3119241192
1655,cwt,60.2300,60.3900,60.5600,59.6500,0.18,0.1100,101405,3112198650
1656,colb,40.6800,39.5700,40.7850,39.5300,-1.98,-0.8000,277741,3106557682
1657,exg,10.2300,10.2500,10.3500,10.2201,0.39,0.0400,434823,3105392633
1658,enic,2.1900,2.2400,2.2750,2.1900,1.36,0.0300,419910,3098661762
1659,bbax,55.3700,55.2600,55.6300,55.2400,-0.34,-0.1900,79386,3097849351
1660,ale,59.4800,59.2600,59.7024,56.8400,-1.00,-0.6000,710041,3097408731
1661,rxrx,18.8300,18.3700,19.0150,17.1400,-1.66,-0.3100,927958,3095040682
1662,zip,28.4000,26.8600,28.9800,26.6400,-5.39,-1.5300,705987,3091804694
1663,wish,5.0100,4.9200,5.2600,4.8800,-1.80,-0.0900,22773825,3089760000
1664,bco,63.4900,61.9900,63.6100,61.8950,-2.64,-1.6800,285900,3086618787
1665,dorm,97.1500,96.8000,98.0400,96.2050,-0.53,-0.5200,69198,3081071980
1666,abm,46.2500,45.5800,46.7450,45.5600,-1.58,-0.7300,205501,3064850978
1667,bstz,39.5700,39.1900,39.8400,39.1500,-1.04,-0.4100,89203,3060346002
1668,phr,60.3600,60.0300,61.6300,59.9700,-1.20,-0.7300,123819,3054057645
1669,tcbi,62.6900,60.3100,62.9800,60.2300,-3.30,-2.0600,217362,3051553137
1670,itci,38.0200,37.4900,38.1164,36.8482,-1.16,-0.4400,220417,3049496246
1671,rskd,20.5100,19.3400,20.7800,19.1322,-5.43,-1.1100,499065,3048486917
1672,ahco,23.1500,23.2600,23.5100,22.8500,0.65,0.1500,599678,3044982300
1673,ccu,16.8000,16.4800,16.9400,16.4800,-2.14,-0.3600,105712,3044703994
1674,cpg,5.3600,5.2200,5.4800,5.2200,1.36,0.0700,4686602,3037969999
1675,bond,109.7600,109.6000,109.7799,109.5600,-0.20,-0.2200,193949,3031641873
1676,peb,22.8100,23.0600,23.4300,22.6700,1.14,0.2600,655416,3029691910
1677,sjnk,27.2500,27.1700,27.2500,27.1700,-0.22,-0.0600,2182438,3029325833
1678,cyrx,64.9000,65.8000,66.4750,64.8900,0.34,0.2200,181271,3028278460
1679,cytk,37.7200,36.2600,38.5800,36.1900,-4.60,-1.7500,772141,3028169414
1680,tcn,13.2500,13.1400,13.6399,12.9935,1.08,0.1400,277948,3023448575
1681,lc,30.7100,30.5300,31.7800,29.8500,-0.07,-0.0200,2252476,3010294330
1682,ioo,72.6200,72.3100,73.1244,72.3000,-0.51,-0.3700,25495,3007966782
1683,flow,72.6700,72.0300,73.1200,71.9100,-1.19,-0.8700,82068,2998596006
1684,envx,21.8400,20.6200,21.8400,20.4600,-3.55,-0.7600,667056,2994964993
1685,schc,41.4000,41.2600,41.6282,41.2600,-0.46,-0.1900,274652,2994764718
1686,crvl,169.5200,167.8700,170.9400,166.8600,-1.82,-3.1200,28200,2990382461
1687,dxj,63.2100,62.6900,63.3300,62.6900,1.29,0.8000,473516,2985533138
1688,vrnt,45.9300,45.6200,46.3700,45.5200,-0.63,-0.2900,648063,2984090102
1689,swi,18.4700,18.8700,19.1500,18.4700,2.72,0.5000,884389,2981913483
1690,ghc,605.9800,595.9500,608.0100,592.7500,-1.12,-6.7400,10193,2980621278
1691,tac,11.0000,10.9800,11.1200,10.8450,-0.36,-0.0400,110380,2975580000
1692,hl,5.5100,5.5300,5.6956,5.4936,0.55,0.0300,4046286,2969480221
1693,evh,34.1500,33.3000,34.1500,33.1000,-2.37,-0.8100,603310,2964998000
